Age,Gender,Income,Utilities,Entertainment,School Fees,Shopping,Healthcare
22,Female,30000,2000,1500,5000,3000,1000
25,Male,45000,3000,2000,7000,4000,1500
30,Female,60000,3500,2500,10000,5000,2000
28,Male,52000,2500,3000,8000,3500,1800
35,Female,75000,4000,3500,12000,6000,2500
40,Male,90000,5000,4000,15000,7000,3000
23,Male,28000,1500,1200,4000,2000,800
27,Female,50000,3000,2200,9000,4500,1600
32,Male,68000,3200,2800,11000,5500,2200
29,Female,55000,2700,2100,8500,4200,1700
45,Male,100000,6000,5000,20000,8000,3500
38,Female,82000,4500,3800,14000,6500,2800
26,Male,47000,2600,2000,7500,3800,1400
31,Female,61000,3300,2400,10000,4800,1900
36,Male,78000,4200,3600,13000,6200,2600
24,Female,32000,1800,1400,5200,2500,900
33,Male,70000,3900,3100,12000,5800,2300
41,Female,95000,5200,4200,16000,7500,3200
27,Female,48000,2800,2300,8000,3900,1500
34,Male,65000,3100,2600,9500,4600,1800
